timestamp_local,aqi,co,no2,o3,pm10,pm25,so2
2024-05-04T23:00:00,107,144.7,15,69,72,38,20
2024-05-04T22:00:00,103,147.8,16.7,69,70.3,36.67,19.7
2024-05-04T21:00:00,100,151,18.3,69,68.7,35.33,19.3
2024-05-04T20:00:00,98,154.1,20,69,67,34,19
2024-05-04T19:00:00,92,128.2,15.3,84.7,73.7,31.67,17
2024-05-04T18:00:00,87,102.3,10.7,100.3,80.3,29.33,15
2024-05-04T17:00:00,82,76.5,6,116,87,27,13
2024-05-04T16:00:00,82,70.8,4.3,119.7,85.3,26.67,12.3
2024-05-04T15:00:00,81,65.2,2.7,123.3,83.7,26.33,11.7
2024-05-04T14:00:00,80,59.5,1,127,82,26,11
2024-05-04T13:00:00,80,60.3,1.3,125.7,77.7,25.67,11
2024-05-04T12:00:00,79,61.1,1.7000000000000002,124.3,73.3,25.33,11
2024-05-04T11:00:00,78,61.9,2,123,69,25,11
2024-05-04T10:00:00,74,68.5,3.7,112.3,57.3,23,11.3
2024-05-04T09:00:00,69,75.1,5.3,101.7,45.7,21,11.7
2024-05-04T08:00:00,65,81.7,7,91,34,19,12
2024-05-04T07:00:00,61,73.3,6,94.7,30,17,10.7
2024-05-04T06:00:00,56,65,5,98.3,26,15,9.3
2024-05-04T05:00:00,52,56.6,4,102,22,13,8
2024-05-04T04:00:00,58,62.1,4,105.7,25.7,15.67,9.7
2024-05-04T03:00:00,64,67.5,4,109.3,29.3,18.33,11.3
2024-05-04T02:00:00,69,73,4,113,33,21,13
2024-05-04T01:00:00,82,91.6,5,121.3,42.7,27,24.7
2024-05-04T00:00:00,95,110.3,6,129.7,52.3,33,36.3
2024-05-03T23:00:00,110,129,7,138,62,39,48
2024-05-03T22:00:00,103,146.1,11.3,119,57.7,36.33,40.3
2024-05-03T21:00:00,97,163.2,15.7,100,53.3,33.67,32.7
2024-05-03T20:00:00,91,180.3,20,81,49,31,25
2024-05-03T19:00:00,89,166.3,19,93,48,30,24
2024-05-03T18:00:00,87,152.3,18,105,47,29,23
2024-05-03T17:00:00,85,138.3,17,117,46,28,22
2024-05-03T16:00:00,80,122.4,12.3,132,43,25.67,24.7
2024-05-03T15:00:00,84,106.4,7.7,147,40,23.33,27.3
2024-05-03T14:00:00,101,90.5,3,162,37,21,30
2024-05-03T13:00:00,104,98.2,3,172,37.7,22.33,34.7
2024-05-03T12:00:00,107,106,3,182,38.3,23.67,39.3
2024-05-03T11:00:00,110,113.8,3,192,39,25,44
2024-05-03T10:00:00,98,153.5,8.7,158.7,43.3,28,37.7
2024-05-03T09:00:00,91,193.2,14.3,125.3,47.7,31,31.3
2024-05-03T08:00:00,98,232.9,20,92,52,34,25
2024-05-03T07:00:00,94,231.1,26.7,64.3,49,32.33,22.3
2024-05-03T06:00:00,90,229.4,33.3,36.7,46,30.67,19.7
2024-05-03T05:00:00,87,227.6,40,9,43,29,17
2024-05-03T04:00:00,86,228.2,37.7,13.3,42.3,28.67,16.7
2024-05-03T03:00:00,85,228.8,35.3,17.7,41.7,28.33,16.3
2024-05-03T02:00:00,85,229.4,33,22,41,28,16
2024-05-03T01:00:00,87,221.4,30,34,42.7,29.33,17.7
2024-05-03T00:00:00,90,213.4,27,46,44.3,30.67,19.3
2024-05-02T23:00:00,93,205.4,24,58,46,32,21
2024-05-02T22:00:00,87,202.5,24.7,67,42.3,29.33,21
2024-05-02T21:00:00,82,199.6,25.3,76,38.7,26.67,21
2024-05-02T20:00:00,76,196.7,26,85,35,24,21
2024-05-02T19:00:00,67,159.7,19,108,29.7,20,18.3
2024-05-02T18:00:00,64,122.8,12,131,24.3,16,15.7
2024-05-02T17:00:00,92,85.8,5,154,19,12,13
2024-05-02T16:00:00,95,83.3,4,156.3,21.3,13,14
2024-05-02T15:00:00,98,80.7,3,158.7,23.7,14,15
2024-05-02T14:00:00,100,78.2,2,161,26,15,16
2024-05-02T13:00:00,101,85.8,2,163.7,26.3,16,21.7
2024-05-02T12:00:00,102,93.4,2,166.3,26.7,17,27.3
2024-05-02T11:00:00,103,101,2,169,27,18,33
2024-05-02T10:00:00,82,133.3,6.3,146,38.3,24.33,31
2024-05-02T09:00:00,90,165.5,10.7,123,49.7,30.67,29
2024-05-02T08:00:00,104,197.8,15,100,61,37,27
2024-05-02T07:00:00,107,219.4,24.3,67.7,62,38,23.3
2024-05-02T06:00:00,110,241,33.7,35.3,63,39,19.7
2024-05-02T05:00:00,112,262.6,43,3,64,40,16
2024-05-02T04:00:00,108,259.5,40.3,9,62.3,38.33,16
2024-05-02T03:00:00,103,256.4,37.7,15,60.7,36.67,16
2024-05-02T02:00:00,100,253.3,35,21,59,35,16
2024-05-02T01:00:00,105,266.5,36.7,27,62.7,37.33,20
2024-05-02T00:00:00,112,279.7,38.3,33,66.3,39.67,24
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
