app_temp,timestamp_local
20.1,2024-05-02T00:00:00
19.7,2024-05-02T01:00:00
18.9,2024-05-02T02:00:00
18.5,2024-05-02T03:00:00
17.8,2024-05-02T04:00:00
17.7,2024-05-02T05:00:00
17,2024-05-02T06:00:00
18.5,2024-05-02T07:00:00
20.9,2024-05-02T08:00:00
24,2024-05-02T09:00:00
26.7,2024-05-02T10:00:00
28.1,2024-05-02T11:00:00
29.1,2024-05-02T12:00:00
29.9,2024-05-02T13:00:00
30.3,2024-05-02T14:00:00
30.5,2024-05-02T15:00:00
30.4,2024-05-02T16:00:00
30.1,2024-05-02T17:00:00
29.1,2024-05-02T18:00:00
27.2,2024-05-02T19:00:00
25.4,2024-05-02T20:00:00
24.3,2024-05-02T21:00:00
22.9,2024-05-02T22:00:00
22.2,2024-05-02T23:00:00
21.6,2024-05-03T00:00:00
21,2024-05-03T01:00:00
20.7,2024-05-03T02:00:00
20.1,2024-05-03T03:00:00
20.2,2024-05-03T04:00:00
19.1,2024-05-03T05:00:00
18.4,2024-05-03T06:00:00
20.5,2024-05-03T07:00:00
22.9,2024-05-03T08:00:00
25.9,2024-05-03T09:00:00
28.8,2024-05-03T10:00:00
29.9,2024-05-03T11:00:00
31.1,2024-05-03T12:00:00
32,2024-05-03T13:00:00
32.4,2024-05-03T14:00:00
31.8,2024-05-03T15:00:00
31.6,2024-05-03T16:00:00
30.5,2024-05-03T17:00:00
29.9,2024-05-03T18:00:00
29.2,2024-05-03T19:00:00
27.7,2024-05-03T20:00:00
27,2024-05-03T21:00:00
26.9,2024-05-03T22:00:00
25.9,2024-05-03T23:00:00
25.3,2024-05-04T00:00:00
24.4,2024-05-04T01:00:00
22.3,2024-05-04T02:00:00
22.1,2024-05-04T03:00:00
22.5,2024-05-04T04:00:00
22.6,2024-05-04T05:00:00
22.5,2024-05-04T06:00:00
23,2024-05-04T07:00:00
24.7,2024-05-04T08:00:00
26.1,2024-05-04T09:00:00
27.8,2024-05-04T10:00:00
30.9,2024-05-04T11:00:00
30.7,2024-05-04T12:00:00
32.3,2024-05-04T13:00:00
32.5,2024-05-04T14:00:00
32.1,2024-05-04T15:00:00
32.2,2024-05-04T16:00:00
31.2,2024-05-04T17:00:00
29.8,2024-05-04T18:00:00
28.5,2024-05-04T19:00:00
27.2,2024-05-04T20:00:00
26.2,2024-05-04T21:00:00
25.1,2024-05-04T22:00:00
24,2024-05-04T23:00:00
