temp,timestamp_local
20.4,2024-05-02T00:00:00
20,2024-05-02T01:00:00
19.3,2024-05-02T02:00:00
18.5,2024-05-02T03:00:00
17.8,2024-05-02T04:00:00
17.8,2024-05-02T05:00:00
17.4,2024-05-02T06:00:00
18.9,2024-05-02T07:00:00
21.9,2024-05-02T08:00:00
24.4,2024-05-02T09:00:00
26.3,2024-05-02T10:00:00
28.1,2024-05-02T11:00:00
29.6,2024-05-02T12:00:00
30.7,2024-05-02T13:00:00
31.1,2024-05-02T14:00:00
31.5,2024-05-02T15:00:00
31.5,2024-05-02T16:00:00
31.1,2024-05-02T17:00:00
29.6,2024-05-02T18:00:00
27,2024-05-02T19:00:00
25.6,2024-05-02T20:00:00
24.1,2024-05-02T21:00:00
23.3,2024-05-02T22:00:00
23,2024-05-02T23:00:00
22.2,2024-05-03T00:00:00
21.9,2024-05-03T01:00:00
21.1,2024-05-03T02:00:00
20.7,2024-05-03T03:00:00
20,2024-05-03T04:00:00
18.9,2024-05-03T05:00:00
18.9,2024-05-03T06:00:00
20.4,2024-05-03T07:00:00
23.3,2024-05-03T08:00:00
25.9,2024-05-03T09:00:00
27.8,2024-05-03T10:00:00
28.9,2024-05-03T11:00:00
30.7,2024-05-03T12:00:00
32.2,2024-05-03T13:00:00
32.6,2024-05-03T14:00:00
31.5,2024-05-03T15:00:00
31.1,2024-05-03T16:00:00
29.3,2024-05-03T17:00:00
27.8,2024-05-03T18:00:00
26.3,2024-05-03T19:00:00
25.6,2024-05-03T20:00:00
24.8,2024-05-03T21:00:00
24.4,2024-05-03T22:00:00
24.8,2024-05-03T23:00:00
24.1,2024-05-04T00:00:00
23.3,2024-05-04T01:00:00
23.3,2024-05-04T02:00:00
23,2024-05-04T03:00:00
22.2,2024-05-04T04:00:00
22.2,2024-05-04T05:00:00
21.9,2024-05-04T06:00:00
22.2,2024-05-04T07:00:00
23.7,2024-05-04T08:00:00
25.2,2024-05-04T09:00:00
27,2024-05-04T10:00:00
29.3,2024-05-04T11:00:00
30.4,2024-05-04T12:00:00
31.5,2024-05-04T13:00:00
32.6,2024-05-04T14:00:00
33,2024-05-04T15:00:00
33.3,2024-05-04T16:00:00
33,2024-05-04T17:00:00
31.9,2024-05-04T18:00:00
29.6,2024-05-04T19:00:00
27.8,2024-05-04T20:00:00
26.3,2024-05-04T21:00:00
25.6,2024-05-04T22:00:00
24.4,2024-05-04T23:00:00
