city_name,country_code,timestamp_local,aqi,co,no2,o3,pm10,pm25,so2
Gujrat,PK,2024-05-02T00:00:00,79,188,23,56,37,26,23
Gujrat,PK,2024-05-02T01:00:00,79,185,23,52,37,25,22
Gujrat,PK,2024-05-02T02:00:00,78,181,22,47,36,25,21
Gujrat,PK,2024-05-02T03:00:00,77,181,23,42,36,25,19
Gujrat,PK,2024-05-02T04:00:00,77,181,24,36,36,25,18
Gujrat,PK,2024-05-02T05:00:00,77,181,25,29,36,24,16
Gujrat,PK,2024-05-02T06:00:00,78,180,22,46,36,25,20
Gujrat,PK,2024-05-02T07:00:00,79,178,18,67,37,25,24
Gujrat,PK,2024-05-02T08:00:00,80,176,14,91,38,26,29
Gujrat,PK,2024-05-02T09:00:00,85,147,10,113,31,21,29
Gujrat,PK,2024-05-02T10:00:00,90,119,6,134,25,17,28
Gujrat,PK,2024-05-02T11:00:00,95,90,2,156,18,12,28
Gujrat,PK,2024-05-02T12:00:00,94,83,2,155,16,11,24
Gujrat,PK,2024-05-02T13:00:00,92,76,1,154,15,9,20
Gujrat,PK,2024-05-02T14:00:00,91,69,1,153,13,8,16
Gujrat,PK,2024-05-02T15:00:00,85,72,2,148,13,8,16
Gujrat,PK,2024-05-02T16:00:00,78,75,4,143,12,8,15
Gujrat,PK,2024-05-02T17:00:00,72,78,5,138,12,8,15
Gujrat,PK,2024-05-02T18:00:00,73,120,13,116,20,13,18
Gujrat,PK,2024-05-02T19:00:00,75,162,21,95,27,19,22
Gujrat,PK,2024-05-02T20:00:00,76,205,29,73,35,24,25
Gujrat,PK,2024-05-02T21:00:00,80,205,27,67,37,26,24
Gujrat,PK,2024-05-02T22:00:00,83,205,26,61,40,27,24
Gujrat,PK,2024-05-02T23:00:00,87,205,24,55,42,29,23
Gujrat,PK,2024-05-03T00:00:00,80,198,24,48,38,26,21
Gujrat,PK,2024-05-03T01:00:00,74,192,23,42,33,23,18
Gujrat,PK,2024-05-03T02:00:00,67,186,23,35,29,20,16
Gujrat,PK,2024-05-03T03:00:00,68,191,26,27,30,20,15
Gujrat,PK,2024-05-03T04:00:00,68,196,29,19,30,21,15
Gujrat,PK,2024-05-03T05:00:00,69,201,32,11,31,21,14
Gujrat,PK,2024-05-03T06:00:00,75,204,27,35,35,24,18
Gujrat,PK,2024-05-03T07:00:00,81,206,22,60,38,26,22
Gujrat,PK,2024-05-03T08:00:00,87,208,17,84,42,29,26
Gujrat,PK,2024-05-03T09:00:00,93,173,12,114,37,25,30
Gujrat,PK,2024-05-03T10:00:00,98,138,8,143,32,22,33
Gujrat,PK,2024-05-03T11:00:00,104,103,3,173,27,18,37
Gujrat,PK,2024-05-03T12:00:00,101,96,3,167,27,17,32
Gujrat,PK,2024-05-03T13:00:00,98,88,2,162,26,16,27
Gujrat,PK,2024-05-03T14:00:00,95,81,2,156,26,15,22
Gujrat,PK,2024-05-03T15:00:00,88,86,3,150,26,15,22
Gujrat,PK,2024-05-03T16:00:00,81,91,5,145,27,16,23
Gujrat,PK,2024-05-03T17:00:00,74,96,6,139,27,16,23
Gujrat,PK,2024-05-03T18:00:00,72,114,9,124,28,18,25
Gujrat,PK,2024-05-03T19:00:00,71,132,12,109,29,19,28
Gujrat,PK,2024-05-03T20:00:00,69,151,15,94,30,21,30
Gujrat,PK,2024-05-03T21:00:00,74,181,19,80,33,23,31
Gujrat,PK,2024-05-03T22:00:00,80,211,24,67,37,26,33
Gujrat,PK,2024-05-03T23:00:00,85,242,28,53,40,28,34
Gujrat,PK,2024-05-04T00:00:00,83,216,24,59,39,27,31
Gujrat,PK,2024-05-04T01:00:00,82,191,21,65,38,27,27
Gujrat,PK,2024-05-04T02:00:00,80,166,17,71,37,26,24
Gujrat,PK,2024-05-04T03:00:00,79,167,19,64,37,26,23
Gujrat,PK,2024-05-04T04:00:00,79,168,20,57,37,25,21
Gujrat,PK,2024-05-04T05:00:00,78,169,22,50,37,25,20
Gujrat,PK,2024-05-04T06:00:00,83,181,22,52,41,27,23
Gujrat,PK,2024-05-04T07:00:00,88,194,21,54,44,30,26
Gujrat,PK,2024-05-04T08:00:00,93,207,21,56,48,32,29
Gujrat,PK,2024-05-04T09:00:00,98,190,16,98,58,34,35
Gujrat,PK,2024-05-04T10:00:00,102,174,10,140,67,35,41
Gujrat,PK,2024-05-04T11:00:00,107,157,5,182,77,37,47
Gujrat,PK,2024-05-04T12:00:00,107,139,4,181,80,36,42
Gujrat,PK,2024-05-04T13:00:00,106,121,4,181,84,34,37
Gujrat,PK,2024-05-04T14:00:00,106,103,3,180,87,33,32
Gujrat,PK,2024-05-04T15:00:00,102,104,4,169,87,33,29
Gujrat,PK,2024-05-04T16:00:00,99,105,6,158,87,33,25
Gujrat,PK,2024-05-04T17:00:00,95,106,7,147,87,33,22
Gujrat,PK,2024-05-04T18:00:00,104,129,11,129,85,37,23
Gujrat,PK,2024-05-04T19:00:00,114,151,16,110,82,40,24
Gujrat,PK,2024-05-04T20:00:00,123,174,20,92,80,44,25
Gujrat,PK,2024-05-04T21:00:00,120,172,19,88,76,43,25
Gujrat,PK,2024-05-04T22:00:00,118,169,19,84,73,42,24
Gujrat,PK,2024-05-04T23:00:00,115,167,18,80,69,41,24
